mae,mse,rmse,r2,grouping,fold,train_groups,test_groups
0.7439788579940796,0.6609708070755005,0.8130011113617868,0.16290160561450717,cow,1,1035|1045|1061|1063|1065|1080|1081|1091|1092|1097|1099|1103|1115|1120|1125,1032|1078|1095
0.8899593353271484,1.549299955368042,1.244708783357795,0.4339161984878609,cow,2,1032|1035|1045|1061|1063|1065|1078|1081|1091|1092|1095|1099|1103|1115|1120,1080|1097|1125
0.3751239776611328,0.18188989162445068,0.4264855116231391,0.9001977743569529,cow,3,1032|1035|1045|1063|1065|1078|1080|1091|1092|1095|1097|1103|1115|1125,1061|1081|1099|1120
0.9906082153320312,1.3983099460601807,1.1825015628151114,0.6591045522046275,cow,4,1032|1045|1061|1065|1078|1080|1081|1092|1095|1097|1099|1115|1120|1125,1035|1063|1091|1103
0.47504234313964844,0.23536774516105652,0.48514713764079503,0.7011188713561666,cow,5,1032|1035|1061|1063|1078|1080|1081|1091|1095|1097|1099|1103|1120|1125,1045|1065|1092|1115
