mae,mse,rmse,r2,grouping,fold,train_groups,test_groups
1.5483627319335938,3.4818642139434814,1.8659754055033742,-0.1802536674952122,date,1,02_06|02_13,02_01
1.2467812299728394,2.0317001342773438,1.4253771901771628,-3.045422500300294,date,2,02_01|02_06,02_13
1.0908088684082031,1.6485726833343506,1.283967555405646,-2.364426763461155,date,3,02_01|02_13,02_06
