mae,mse,rmse,r2,grouping,fold,train_groups,test_groups
1.2494277954101562,2.069303035736084,1.438507224777159,-1.4106565878388548,sequence,1,02_01/0002|02_01/0006|02_01/0007|02_01/0009|02_01/0010|02_01/0011|02_01/0012|02_01/0013|02_06/0002|02_13/0002|02_13/0004|02_13/0018|02_13/0023|02_13/0024|02_13/0027|02_13/0032,02_01/0001|02_01/0008|02_06/0001|02_13/0014|02_13/0035
0.5251483917236328,0.3759094178676605,0.6131145226363999,0.2656203663430753,sequence,2,02_01/0001|02_01/0002|02_01/0006|02_01/0007|02_01/0008|02_01/0010|02_01/0011|02_01/0012|02_06/0001|02_06/0002|02_13/0002|02_13/0004|02_13/0014|02_13/0023|02_13/0024|02_13/0027|02_13/0035,02_01/0009|02_01/0013|02_13/0018|02_13/0032
1.1112079620361328,2.162389039993286,1.4705063889671768,-0.32104838181869,sequence,3,02_01/0001|02_01/0006|02_01/0007|02_01/0008|02_01/0009|02_01/0011|02_01/0012|02_01/0013|02_06/0001|02_13/0002|02_13/0004|02_13/0014|02_13/0018|02_13/0024|02_13/0027|02_13/0032|02_13/0035,02_01/0002|02_01/0010|02_06/0002|02_13/0023
0.5162715911865234,0.4622814655303955,0.6799128367154098,0.7960710874417813,sequence,4,02_01/0001|02_01/0002|02_01/0007|02_01/0008|02_01/0009|02_01/0010|02_01/0012|02_01/0013|02_06/0001|02_06/0002|02_13/0004|02_13/0014|02_13/0018|02_13/0023|02_13/0027|02_13/0032|02_13/0035,02_01/0006|02_01/0011|02_13/0002|02_13/0024
0.6365909576416016,0.4669734835624695,0.6833545811381303,0.8252263090066743,sequence,5,02_01/0001|02_01/0002|02_01/0006|02_01/0008|02_01/0009|02_01/0010|02_01/0011|02_01/0013|02_06/0001|02_06/0002|02_13/0002|02_13/0014|02_13/0018|02_13/0023|02_13/0024|02_13/0032|02_13/0035,02_01/0007|02_01/0012|02_13/0004|02_13/0027
